 18-Sep-2016       (1.000 *bam1o20_0p25mg_ - 1.001 *bam1o20_buffer_) /  1.0000
bam1o20_0p25  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.284668E+00  0.449362E-03  0.552841E-03
  0.285397E+00  0.755961E-03  0.570534E-03
  0.286127E+00  0.103356E-03  0.570364E-03
  0.286856E+00 -0.210538E-03  0.566544E-03
  0.287586E+00 -0.293803E-03  0.571073E-03
  0.288316E+00  0.806027E-03  0.572342E-03
  0.289045E+00  0.170806E-03  0.570334E-03
  0.289775E+00  0.578744E-03  0.565392E-03
  0.290504E+00  0.588240E-03  0.558496E-03
  0.291234E+00  0.525529E-03  0.554014E-03
  0.291964E+00  0.224068E-03  0.556650E-03
  0.292693E+00  0.480755E-03  0.552548E-03
  0.293423E+00  0.128056E-03  0.565414E-03
  0.294152E+00 -0.158330E-05  0.573283E-03
  0.294882E+00  0.137158E-03  0.556248E-03
  0.295611E+00  0.391190E-03  0.565371E-03
  0.296341E+00  0.210739E-04  0.563201E-03
  0.297070E+00  0.260622E-03  0.564244E-03
  0.297800E+00  0.270130E-03  0.568252E-03
  0.298529E+00  0.215561E-03  0.557484E-03
  0.299259E+00  0.340048E-03  0.564703E-03
  0.299988E+00  0.267737E-03  0.556143E-03
  0.300718E+00 -0.297860E-03  0.569882E-03
  0.301447E+00  0.186454E-03  0.573911E-03
  0.302176E+00  0.365257E-03  0.565607E-03
  0.302906E+00  0.469632E-03  0.559727E-03
  0.303635E+00 -0.246281E-03  0.579855E-03
  0.304365E+00 -0.560745E-03  0.584889E-03
  0.305094E+00  0.485244E-03  0.587244E-03
  0.305823E+00 -0.336503E-03  0.571239E-03
  0.306553E+00  0.552050E-05  0.584801E-03
  0.307282E+00  0.154005E-03  0.574529E-03
  0.308012E+00 -0.343694E-03  0.596252E-03
  0.308741E+00  0.602335E-03  0.579472E-03
  0.309470E+00  0.319809E-03  0.582042E-03
  0.310200E+00  0.988455E-04  0.567419E-03
  0.310929E+00  0.536632E-03  0.586944E-03
  0.311658E+00  0.295966E-03  0.576064E-03
  0.312387E+00  0.548045E-03  0.594163E-03
  0.313117E+00  0.193872E-03  0.582624E-03
  0.313846E+00 -0.212418E-03  0.599628E-03
  0.314575E+00  0.609391E-03  0.590352E-03
  0.315305E+00  0.378621E-03  0.596221E-03
  0.316034E+00  0.137111E-03  0.576713E-03
  0.316763E+00  0.486008E-03  0.588162E-03
  0.317492E+00 -0.190289E-04  0.582826E-03
  0.318221E+00 -0.386299E-04  0.594074E-03
  0.318951E+00  0.108118E-03  0.590755E-03
  0.319680E+00 -0.174419E-03  0.590185E-03
  0.320409E+00  0.749296E-04  0.593213E-03
  0.321138E+00  0.310945E-03  0.581642E-03
  0.321867E+00 -0.196567E-03  0.598380E-03
  0.322596E+00  0.295058E-03  0.602514E-03
  0.323326E+00 -0.146958E-03  0.603154E-03
  0.324055E+00 -0.396991E-03  0.605239E-03
  0.324784E+00  0.223102E-04  0.591768E-03
  0.325513E+00  0.524635E-03  0.597642E-03
