 18-Sep-2016       (1.000 *bam1o20_2mg_avg - 1.012 *bam1o20_buffer_) /  1.0000
bam1o20_2mg_  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.216773E+00  0.861898E-02  0.648998E-03
  0.217503E+00  0.843299E-02  0.637272E-03
  0.218234E+00  0.760349E-02  0.650297E-03
  0.218964E+00  0.790052E-02  0.648814E-03
  0.219695E+00  0.829114E-02  0.645065E-03
  0.220425E+00  0.809936E-02  0.639323E-03
  0.221155E+00  0.762983E-02  0.626192E-03
  0.221886E+00  0.820472E-02  0.638962E-03
  0.222616E+00  0.724747E-02  0.618296E-03
  0.223346E+00  0.695452E-02  0.624908E-03
  0.224077E+00  0.810133E-02  0.620849E-03
  0.224807E+00  0.724426E-02  0.607066E-03
  0.225537E+00  0.759042E-02  0.617613E-03
  0.226268E+00  0.726218E-02  0.606534E-03
  0.226998E+00  0.679358E-02  0.609619E-03
  0.227728E+00  0.674857E-02  0.609745E-03
  0.228459E+00  0.686419E-02  0.608184E-03
  0.229189E+00  0.708639E-02  0.599712E-03
  0.229919E+00  0.668839E-02  0.601004E-03
  0.230650E+00  0.614468E-02  0.597469E-03
  0.231380E+00  0.627117E-02  0.599960E-03
  0.232110E+00  0.616634E-02  0.616338E-03
  0.232840E+00  0.616882E-02  0.605467E-03
  0.233571E+00  0.592694E-02  0.591133E-03
  0.234301E+00  0.621914E-02  0.601063E-03
  0.235031E+00  0.557343E-02  0.598633E-03
  0.235761E+00  0.543543E-02  0.581861E-03
  0.236491E+00  0.552847E-02  0.577809E-03
  0.237222E+00  0.523907E-02  0.592708E-03
  0.237952E+00  0.534157E-02  0.586994E-03
  0.238682E+00  0.534960E-02  0.585801E-03
  0.239412E+00  0.508754E-02  0.587408E-03
  0.240142E+00  0.527892E-02  0.580797E-03
  0.240873E+00  0.572256E-02  0.576525E-03
  0.241603E+00  0.482309E-02  0.587271E-03
  0.242333E+00  0.494540E-02  0.566701E-03
  0.243063E+00  0.467441E-02  0.580631E-03
  0.243793E+00  0.483575E-02  0.572500E-03
  0.244523E+00  0.412703E-02  0.581998E-03
  0.245253E+00  0.451356E-02  0.566464E-03
  0.245984E+00  0.439578E-02  0.582540E-03
  0.246714E+00  0.451625E-02  0.586058E-03
  0.247444E+00  0.461615E-02  0.579135E-03
  0.248174E+00  0.401440E-02  0.598737E-03
  0.248904E+00  0.401346E-02  0.586415E-03
  0.249634E+00  0.397440E-02  0.598134E-03
  0.250364E+00  0.436270E-02  0.591683E-03
  0.251094E+00  0.413352E-02  0.596746E-03
  0.251824E+00  0.346348E-02  0.594017E-03
  0.252554E+00  0.323281E-02  0.588086E-03
  0.253284E+00  0.361618E-02  0.590255E-03
  0.254014E+00  0.394620E-02  0.587688E-03
  0.254744E+00  0.370151E-02  0.591773E-03
  0.255474E+00  0.341328E-02  0.598804E-03
  0.256204E+00  0.383295E-02  0.592870E-03
  0.256934E+00  0.300516E-02  0.574011E-03
  0.257664E+00  0.325422E-02  0.588018E-03
  0.258394E+00  0.331333E-02  0.587446E-03
  0.259124E+00  0.348861E-02  0.587767E-03
  0.259854E+00  0.340156E-02  0.587441E-03
  0.260584E+00  0.386312E-02  0.583016E-03
  0.261314E+00  0.351692E-02  0.593862E-03
  0.262044E+00  0.302254E-02  0.597480E-03
  0.262774E+00  0.261661E-02  0.595066E-03
  0.263504E+00  0.279005E-02  0.582485E-03
  0.264234E+00  0.281673E-02  0.586165E-03
  0.264964E+00  0.351288E-02  0.582421E-03
  0.265693E+00  0.297025E-02  0.589163E-03
  0.266423E+00  0.319774E-02  0.584772E-03
  0.267153E+00  0.252882E-02  0.578959E-03
  0.267883E+00  0.217645E-02  0.587655E-03
  0.268613E+00  0.270657E-02  0.590247E-03
  0.269343E+00  0.265446E-02  0.582967E-03
  0.270073E+00  0.179385E-02  0.593133E-03
  0.270802E+00  0.236500E-02  0.593453E-03
  0.271532E+00  0.227875E-02  0.586483E-03
  0.272262E+00  0.243703E-02  0.581745E-03
  0.272992E+00  0.216461E-02  0.593447E-03
  0.273722E+00  0.174887E-02  0.580983E-03
  0.274451E+00  0.173382E-02  0.578838E-03
  0.275181E+00  0.195348E-02  0.584629E-03
  0.275911E+00  0.202213E-02  0.579540E-03
  0.276641E+00  0.191965E-02  0.588837E-03
  0.277371E+00  0.151111E-02  0.575083E-03
  0.278100E+00  0.217425E-02  0.581614E-03
  0.278830E+00  0.159609E-02  0.590838E-03
  0.279560E+00  0.176490E-02  0.576470E-03
  0.280289E+00  0.165442E-02  0.577505E-03
  0.281019E+00  0.162083E-02  0.584916E-03
  0.281749E+00  0.226502E-02  0.576370E-03
  0.282479E+00  0.219798E-02  0.570949E-03
  0.283208E+00  0.195853E-02  0.584234E-03
  0.283938E+00  0.128869E-02  0.571966E-03
  0.284668E+00  0.151584E-02  0.561929E-03
  0.285397E+00  0.163953E-02  0.572414E-03
  0.286127E+00  0.152107E-02  0.576863E-03
  0.286856E+00  0.144204E-02  0.573881E-03
  0.287586E+00  0.116127E-02  0.580228E-03
  0.288316E+00  0.260612E-02  0.577854E-03
  0.289045E+00  0.125408E-02  0.576756E-03
  0.289775E+00  0.176813E-02  0.573581E-03
  0.290504E+00  0.176588E-02  0.562162E-03
  0.291234E+00  0.172724E-02  0.561312E-03
  0.291964E+00  0.140691E-02  0.563982E-03
  0.292693E+00  0.218166E-02  0.558829E-03
  0.293423E+00  0.133737E-02  0.570922E-03
  0.294152E+00  0.144960E-02  0.583277E-03
  0.294882E+00  0.128479E-02  0.567087E-03
  0.295611E+00  0.220248E-02  0.571744E-03
  0.296341E+00  0.149759E-02  0.569569E-03
  0.297070E+00  0.106116E-02  0.571523E-03
  0.297800E+00  0.154886E-02  0.576459E-03
  0.298529E+00  0.159173E-02  0.564726E-03
  0.299259E+00  0.135468E-02  0.572009E-03
  0.299988E+00  0.190714E-02  0.564283E-03
  0.300718E+00  0.109448E-02  0.578121E-03
  0.301447E+00  0.177545E-02  0.579521E-03
  0.302176E+00  0.178478E-02  0.570188E-03
  0.302906E+00  0.154098E-02  0.568890E-03
  0.303635E+00  0.144993E-02  0.590988E-03
  0.304365E+00  0.107516E-02  0.590628E-03
  0.305094E+00  0.201653E-02  0.595670E-03
  0.305823E+00  0.141306E-02  0.574926E-03
  0.306553E+00  0.121305E-02  0.586865E-03
  0.307282E+00  0.824160E-03  0.582050E-03
  0.308012E+00  0.754867E-03  0.600236E-03
  0.308741E+00  0.193392E-02  0.587897E-03
  0.309470E+00  0.145411E-02  0.590492E-03
  0.310200E+00  0.156625E-02  0.578627E-03
  0.310929E+00  0.139519E-02  0.593608E-03
  0.311658E+00  0.120859E-02  0.587354E-03
  0.312387E+00  0.124193E-02  0.602718E-03
  0.313117E+00  0.119436E-02  0.591247E-03
  0.313846E+00  0.113769E-02  0.606377E-03
  0.314575E+00  0.947191E-03  0.598024E-03
  0.315305E+00  0.143965E-02  0.601175E-03
  0.316034E+00  0.143474E-02  0.584183E-03
  0.316763E+00  0.124639E-02  0.598627E-03
  0.317492E+00  0.101725E-02  0.592332E-03
  0.318221E+00  0.667541E-03  0.603601E-03
  0.318951E+00  0.112552E-02  0.598417E-03
  0.319680E+00  0.101277E-02  0.600676E-03
  0.320409E+00  0.779955E-03  0.602849E-03
  0.321138E+00  0.114824E-02  0.587358E-03
  0.321867E+00  0.978501E-03  0.608021E-03
  0.322596E+00  0.120549E-02  0.607443E-03
  0.323326E+00  0.105640E-02  0.612789E-03
  0.324055E+00  0.115031E-02  0.613920E-03
  0.324784E+00  0.996122E-03  0.597525E-03
  0.325513E+00  0.139732E-02  0.607345E-03
  0.326242E+00  0.119852E-02  0.592294E-03
  0.326971E+00  0.105610E-02  0.603038E-03
  0.327700E+00  0.129622E-02  0.597314E-03
  0.328429E+00  0.117284E-02  0.607104E-03
  0.329158E+00  0.793805E-03  0.621719E-03
  0.329887E+00  0.110748E-02  0.607024E-03
  0.330616E+00  0.679117E-03  0.607240E-03
  0.331345E+00  0.164970E-02  0.615352E-03
  0.332074E+00  0.886214E-03  0.608717E-03
  0.332803E+00  0.113287E-02  0.621803E-03
  0.333532E+00  0.171389E-02  0.611618E-03
  0.334261E+00  0.825115E-03  0.602748E-03
  0.334990E+00  0.174332E-02  0.613052E-03
  0.335719E+00  0.118835E-02  0.608426E-03
  0.336448E+00  0.124563E-02  0.605276E-03
  0.337177E+00  0.111989E-02  0.623766E-03
  0.337906E+00  0.876704E-03  0.614951E-03
  0.338635E+00  0.725008E-03  0.614322E-03
  0.339364E+00  0.136564E-02  0.606726E-03
  0.340093E+00  0.136708E-02  0.594958E-03
  0.340822E+00  0.878274E-03  0.610015E-03
  0.341551E+00  0.127972E-02  0.608390E-03
  0.342279E+00  0.112320E-02  0.613851E-03
  0.343008E+00  0.175405E-02  0.608085E-03
  0.343737E+00  0.846999E-03  0.614106E-03
  0.344466E+00  0.108473E-02  0.616070E-03
  0.345195E+00  0.120114E-02  0.622831E-03
  0.345923E+00  0.127229E-02  0.615336E-03
  0.346652E+00  0.141615E-02  0.616786E-03
  0.347381E+00  0.670404E-03  0.611551E-03
  0.348110E+00  0.150718E-02  0.603280E-03
  0.348839E+00 -0.117725E-03  0.617045E-03
  0.349567E+00  0.122400E-02  0.599579E-03
  0.350296E+00  0.945225E-03  0.624932E-03
  0.351025E+00  0.101016E-02  0.611356E-03
  0.351753E+00  0.924853E-03  0.622664E-03
  0.352482E+00  0.104837E-02  0.620862E-03
  0.353211E+00  0.776467E-03  0.605126E-03
  0.353940E+00  0.720972E-03  0.614215E-03
  0.354668E+00  0.126805E-02  0.614262E-03
  0.355397E+00  0.110226E-02  0.619214E-03
  0.356126E+00  0.123499E-02  0.616638E-03
  0.356854E+00  0.646951E-03  0.619707E-03
  0.357583E+00  0.200926E-02  0.624762E-03
  0.358311E+00  0.963797E-03  0.614219E-03
  0.359040E+00  0.931869E-03  0.616983E-03
  0.359769E+00  0.138972E-02  0.617395E-03
  0.360497E+00  0.105692E-02  0.611562E-03
  0.361226E+00  0.456608E-03  0.623737E-03
  0.361954E+00  0.149426E-02  0.618322E-03
  0.362683E+00  0.144211E-02  0.640408E-03
  0.363411E+00  0.887225E-03  0.628201E-03
  0.364140E+00  0.155841E-02  0.637508E-03
  0.364868E+00  0.986323E-03  0.654072E-03
  0.365597E+00  0.105128E-02  0.641105E-03
  0.366325E+00  0.533360E-05  0.664073E-03
  0.367054E+00  0.536083E-03  0.637989E-03
  0.367782E+00  0.139164E-02  0.657226E-03
  0.368511E+00  0.184490E-02  0.651831E-03
  0.369239E+00  0.131361E-02  0.654729E-03
  0.369967E+00  0.155619E-02  0.672903E-03
  0.370696E+00  0.756442E-03  0.654940E-03
  0.371424E+00  0.741103E-03  0.657565E-03
  0.372153E+00  0.381819E-03  0.665558E-03
  0.372881E+00  0.140089E-02  0.657185E-03
