 18-Sep-2016       (1.000 *bam1o20_0p5mg_a - 1.003 *bam1o20_buffer_) /  1.0000
bam1o20_0p5m  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.292693E+00  0.936764E-03  0.552103E-03
  0.293423E+00  0.223268E-03  0.563227E-03
  0.294152E+00  0.501550E-03  0.576464E-03
  0.294882E+00  0.294473E-03  0.558558E-03
  0.295611E+00  0.575170E-03  0.563147E-03
  0.296341E+00  0.375522E-03  0.561920E-03
  0.297070E+00  0.470665E-03  0.568292E-03
  0.297800E+00  0.202590E-03  0.569665E-03
  0.298529E+00  0.751682E-03  0.558875E-03
  0.299259E+00  0.657745E-03  0.568765E-03
  0.299988E+00  0.956611E-03  0.558445E-03
  0.300718E+00  0.100020E-03  0.573056E-03
  0.301447E+00  0.304662E-03  0.577096E-03
  0.302176E+00  0.869171E-03  0.567021E-03
  0.302906E+00  0.920895E-03  0.563926E-03
  0.303635E+00  0.361558E-03  0.583133E-03
  0.304365E+00  0.185265E-03  0.587243E-03
  0.305094E+00  0.119573E-02  0.588689E-03
  0.305823E+00  0.491790E-03  0.571730E-03
  0.306553E+00 -0.103238E-03  0.581667E-03
  0.307282E+00  0.382150E-04  0.578774E-03
  0.308012E+00 -0.337383E-03  0.594961E-03
  0.308741E+00  0.513304E-03  0.581842E-03
  0.309470E+00  0.664427E-03  0.583490E-03
  0.310200E+00  0.549737E-03  0.569818E-03
  0.310929E+00  0.550896E-03  0.587474E-03
  0.311658E+00  0.395297E-03  0.580363E-03
  0.312387E+00  0.441034E-03  0.594705E-03
  0.313117E+00  0.387815E-03  0.588852E-03
  0.313846E+00  0.203472E-04  0.600186E-03
  0.314575E+00  0.843073E-03  0.595632E-03
  0.315305E+00  0.601263E-03  0.600474E-03
  0.316034E+00  0.873634E-03  0.577207E-03
  0.316763E+00  0.486023E-03  0.589636E-03
  0.317492E+00  0.316413E-03  0.587163E-03
  0.318221E+00  0.721103E-04  0.599251E-03
  0.318951E+00  0.457454E-03  0.592235E-03
  0.319680E+00 -0.128057E-03  0.596345E-03
  0.320409E+00  0.476089E-03  0.598541E-03
  0.321138E+00  0.621335E-03  0.582162E-03
  0.321867E+00 -0.190000E-03  0.604621E-03
  0.322596E+00  0.171374E-03  0.601212E-03
  0.323326E+00  0.191525E-03  0.604659E-03
  0.324055E+00  0.294227E-03  0.607673E-03
  0.324784E+00  0.462931E-03  0.591340E-03
  0.325513E+00  0.743105E-03  0.600113E-03
  0.326242E+00  0.528004E-03  0.586144E-03
  0.326971E+00  0.172601E-03  0.596736E-03
  0.327700E+00  0.168230E-03  0.590110E-03
  0.328429E+00 -0.301570E-05  0.597028E-03
  0.329158E+00 -0.496974E-03  0.616286E-03
  0.329887E+00  0.909707E-04  0.598859E-03
  0.330616E+00  0.501654E-03  0.600932E-03
  0.331345E+00  0.411749E-03  0.605274E-03
  0.332074E+00 -0.357215E-04  0.601497E-03
  0.332803E+00 -0.653240E-05  0.614496E-03
  0.333532E+00  0.270098E-03  0.603403E-03
  0.334261E+00  0.680754E-03  0.594608E-03
  0.334990E+00  0.894206E-03  0.606704E-03
  0.335719E+00 -0.276113E-03  0.602154E-03
  0.336448E+00  0.287259E-03  0.598992E-03
  0.337177E+00  0.243173E-03  0.617376E-03
  0.337906E+00 -0.415624E-03  0.605692E-03
  0.338635E+00 -0.199731E-04  0.609848E-03
  0.339364E+00  0.454560E-03  0.599500E-03
  0.340093E+00  0.645044E-03  0.593669E-03
  0.340822E+00 -0.893815E-04  0.607506E-03
  0.341551E+00  0.182679E-03  0.604989E-03
  0.342279E+00  0.648201E-03  0.604616E-03
  0.343008E+00  0.511187E-03  0.603676E-03
  0.343737E+00  0.113625E-03  0.613447E-03
  0.344466E+00  0.527208E-03  0.608786E-03
  0.345195E+00  0.105185E-03  0.616493E-03
  0.345923E+00  0.337899E-03  0.607068E-03
  0.346652E+00  0.699837E-03  0.612318E-03
  0.347381E+00  0.504651E-03  0.606191E-03
  0.348110E+00  0.386619E-03  0.597036E-03
  0.348839E+00 -0.701481E-03  0.609746E-03
  0.349567E+00 -0.640120E-05  0.594333E-03
  0.350296E+00  0.384431E-03  0.622254E-03
  0.351025E+00  0.180410E-04  0.608853E-03
  0.351753E+00  0.249188E-03  0.615304E-03
  0.352482E+00  0.315543E-03  0.616373E-03
  0.353211E+00 -0.552583E-03  0.598831E-03
  0.353940E+00  0.525918E-03  0.606953E-03
  0.354668E+00  0.683864E-03  0.605101E-03
  0.355397E+00  0.102791E-03  0.615666E-03
  0.356126E+00  0.473398E-03  0.610266E-03
  0.356854E+00 -0.131873E-04  0.616144E-03
  0.357583E+00  0.961340E-03  0.617373E-03
  0.358311E+00  0.738124E-03  0.606954E-03
  0.359040E+00  0.317967E-03  0.614443E-03
  0.359769E+00  0.909755E-03  0.610063E-03
  0.360497E+00  0.294581E-03  0.605235E-03
  0.361226E+00 -0.139048E-03  0.613421E-03
  0.361954E+00  0.575014E-03  0.613848E-03
  0.362683E+00  0.435002E-03  0.634812E-03
  0.363411E+00 -0.246688E-04  0.620704E-03
  0.364140E+00  0.106260E-02  0.631942E-03
  0.364868E+00  0.275556E-03  0.651319E-03
  0.365597E+00  0.331344E-03  0.635510E-03
  0.366325E+00 -0.697467E-03  0.656270E-03
  0.367054E+00 -0.231129E-03  0.629274E-03
  0.367782E+00  0.495835E-03  0.648342E-03
  0.368511E+00  0.875376E-03  0.644026E-03
  0.369239E+00  0.873277E-03  0.647987E-03
  0.369967E+00  0.281896E-03  0.663900E-03
  0.370696E+00  0.105485E-03  0.645045E-03
  0.371424E+00 -0.914992E-04  0.647450E-03
  0.372153E+00 -0.434703E-04  0.655468E-03
  0.372881E+00  0.447023E-03  0.649256E-03
  0.373609E+00 -0.338345E-03  0.668105E-03
  0.374338E+00  0.368460E-03  0.662035E-03
  0.375066E+00  0.488112E-03  0.659969E-03
  0.375794E+00  0.397935E-03  0.641987E-03
  0.376523E+00  0.263415E-03  0.637864E-03
  0.377251E+00  0.571080E-03  0.653344E-03
  0.377979E+00  0.372928E-03  0.643583E-03
  0.378708E+00 -0.376580E-03  0.641034E-03
  0.379436E+00  0.502353E-03  0.645796E-03
  0.380164E+00  0.152291E-02  0.631670E-03
  0.380892E+00  0.613021E-04  0.641522E-03
  0.381621E+00 -0.378521E-03  0.635292E-03
  0.382349E+00  0.776884E-03  0.637188E-03
  0.383077E+00  0.549311E-03  0.619369E-03
  0.383805E+00  0.515782E-04  0.626277E-03
  0.384533E+00  0.292357E-03  0.636380E-03
  0.385261E+00  0.260661E-03  0.629950E-03
  0.385990E+00  0.311930E-03  0.631771E-03
  0.386718E+00  0.481420E-03  0.638026E-03
  0.387446E+00 -0.112405E-03  0.639192E-03
  0.388174E+00 -0.171645E-04  0.622758E-03
  0.388902E+00  0.289511E-03  0.645378E-03
  0.389630E+00 -0.328649E-03  0.641064E-03
  0.390358E+00  0.667680E-03  0.638420E-03
  0.391086E+00  0.481957E-03  0.634644E-03
  0.391814E+00  0.394442E-04  0.621324E-03
  0.392542E+00 -0.259500E-03  0.632116E-03
  0.393270E+00  0.166325E-03  0.637549E-03
  0.393998E+00  0.207272E-03  0.639802E-03
  0.394726E+00  0.725890E-05  0.647696E-03
